reading_key,client_key,contract_key,reading_date,reading_value
19e0f1a6-4979-4b2e-93ad-9c7fa3f78f72,3ecb2f3a-3478-4a7c-b7c9-98bafb024dfe,cb2a569b-15ab-4418-9006-13d81e51cd3d,2024-01-05,142.50
16e3d5c4-fe9d-46aa-ab3a-1d2518240a2a,3ecb2f3a-3478-4a7c-b7c9-98bafb024dfe,cb2a569b-15ab-4418-9006-13d81e51cd3d,2024-02-05,158.75
19504164-7b5c-462d-a9f2-5e98bd81da0c,3ecb2f3a-3478-4a7c-b7c9-98bafb024dfe,cb2a569b-15ab-4418-9006-13d81e51cd3d,2024-03-05,151.20
fb198bb1-f352-4dfe-b27d-dacf4eb68e1e,3ecb2f3a-3478-4a7c-b7c9-98bafb024dfe,d6eae82d-982c-4755-860b-7a305b878d13,2024-07-10,89.00
01ba2101-8b26-470a-a93f-32ed3e438c47,3ecb2f3a-3478-4a7c-b7c9-98bafb024dfe,d6eae82d-982c-4755-860b-7a305b878d13,2024-08-10,95.40
10512f21-1c7d-4616-9c55-4215dce5f530,fe51ec47-23bb-4c89-af38-7cf6fb68dc7e,6284ba51-8fad-454e-9de2-4b9a6c74bd9d,2024-10-01,1200.00
381a38c4-1f93-4e20-9920-74d7f6813d37,fe51ec47-23bb-4c89-af38-7cf6fb68dc7e,6284ba51-8fad-454e-9de2-4b9a6c74bd9d,2024-11-01,1185.50
15defb43-cba9-4017-9f80-35b43d8dfc9c,fe51ec47-23bb-4c89-af38-7cf6fb68dc7e,6284ba51-8fad-454e-9de2-4b9a6c74bd9d,2024-12-01,1230.80
da348d75-05f1-4952-a7a5-ec8f15bcb676,86c19f29-314f-4e7c-bd3b-f213e0d1707b,ead1a40a-5989-45f7-a7fe-baf3ee399f61,2024-05-15,3450.25
77f79198-58b6-46a4-90e4-f504b5f7bb99,86c19f29-314f-4e7c-bd3b-f213e0d1707b,ead1a40a-5989-45f7-a7fe-baf3ee399f61,2024-06-15,3520.00
dfeb4d63-e13c-4a39-8606-ac87358ed66d,37dec0f7-c6ce-403b-aea4-93d5c69999db,19b2e106-3cb9-4414-b1e5-4ebe919737f9,2023-12-01,67.30
7b1a2059-2d94-427f-ad10-3a6826bdb5c4,37dec0f7-c6ce-403b-aea4-93d5c69999db,19b2e106-3cb9-4414-b1e5-4ebe919737f9,2024-01-01,71.90
31648e23-c79a-4136-b15b-95146e5197b3,e28b7ad1-8272-4169-9d93-e5250737c81b,f9f59502-eaae-4f0c-be5c-95e015505091,2025-01-15,203.45
fbf14979-0a05-480b-a9b4-d37db3a8fa4c,e28b7ad1-8272-4169-9d93-e5250737c81b,f9f59502-eaae-4f0c-be5c-95e015505091,2025-02-15,198.10
76cf2dda-bd38-4eda-9144-1f4340cb185b,e28b7ad1-8272-4169-9d93-e5250737c81b,f9f59502-eaae-4f0c-be5c-95e015505091,2025-03-15,211.00
